Date	Date	Number	Name	Industry	Revenue for the month	Last month's revenue	Last year's monthly revenue	Compared with last month(%)	Change in the same month last year(%)	Cumulative revenue for the month	Cumulative revenue last year	Compared with the increase and decrease in the previous period(%)	備註
1120717	11206	1340	勝悅-KY	塑膠工業	52386	54312	49798	-3.54617764	5.196995863	278563	240164	15.98865775	-
1120717	11206	1341	富林-KY	塑膠工業	203520	193594	254953	5.127225017	-20.17352218	1235254	1626012	-24.03167996	-
1120717	11206	1342	八貫	其他	223920	178409	214236	25.50936332	4.520248698	1259621	1235380	1.962230245	-
1120717	11206	1402	遠東新	紡織纖維	21716631	21526680	23978112	0.882398029	-9.431438972	124860652	132673690	-5.888912866	-
1120717	11206	1409	新纖	紡織纖維	3466844	3191580	3930119	8.624693725	-11.78781101	18824045	24570494	-23.38760059	-
1120717	11206	1410	南染	紡織纖維	17597	23932	30146	-26.47083403	-41.62741326	111195	202344	-45.04655438	-
1120717	11206	1413	宏洲	紡織纖維	140767	139321	268894	1.037890914	-47.64963145	916232	1776792	-48.4333563	-
1120717	11206	1414	東和	紡織纖維	44107	54862	68651	-19.603733	-35.7518463	276652	386509	-28.42288278	-
1120717	11206	1416	廣豐	其他	20086	22912	41487	-12.33414804	-51.5848338	142354	132281	7.614850205	去年6月集團內原屬未實現收益，因合併個體清算轉已實現。
1120717	11206	1417	嘉裕	紡織纖維	92878	154036	103180	-39.70370563	-9.984493119	803073	711832	12.81777161	-
1120717	11206	1418	東華	紡織纖維	1190	244	1101	387.704918	8.0835604	13211	9641	37.0293538	-
1120717	11206	1419	新紡	紡織纖維	226608	216761	234378	4.542791369	-3.315157566	1511902	1463020	3.341171002	-
1120717	11206	1423	利華	紡織纖維	9011	6951	9338	29.63602359	-3.501820518	62554	102127	-38.74881275	-
1120717	11206	1432	大魯閣	運動休閒	112502	97945	79090	14.86242279	42.24554305	629418	485558	29.62776846	-
1120717	11206	1434	福懋	紡織纖維	2304846	2473663	2908460	-6.824575538	-20.75373222	14881636	18195453	-18.2123358	-
1120717	11206	1435	中福	其他	742	750	1475	-1.066666667	-49.69491525	4468	7110	-37.15893108	-
1120717	11206	1436	華友聯	建材營造	26663	25378	544747	5.063440775	-95.10543427	100077	783632	-87.22908202	本月及累計營收較去年同期減少，係今年交屋數量較去年同期減少所致
1120717	11206	1437	勤益控	其他	58940	55198	61957	6.779231132	-4.86950627	341947	353147	-3.17148383	-
1120717	11206	1438	三地開發	建材營造	0	0	455695		-100	272237	455714	-40.2614359	111年累計銷售商品及土地，故營收變化大。
1120717	11206	1439	雋揚	建材營造	7593	4615	18741	64.52871073	-59.48455259	110610	299462	-63.06376101	本公司本月及累計營收較去年同期減少，係因今年度認列交屋金額較低所致。
1120717	11206	1440	南紡	紡織纖維	1657001	1760972	1865022	-5.904182463	-11.15380945	10482586	11390253	-7.968804556	-
1120717	11206	1441	大東	紡織纖維	86636	86399	154545	0.27430873	-43.94124689	574351	849269	-32.37113329	-
1120717	11206	1442	名軒	建材營造	71572	134351	85837	-46.72760158	-16.61870755	723505	393244	83.98373529	本年累計認收52戶，去年累計認收30戶，故兩期差異大。
1120717	11206	1443	立益物流	其他	62602	59825	57486	4.641872127	8.899558153	346361	400474	-13.512238	-
1120717	11206	1444	力麗	紡織纖維	685470	816251	1159040	-16.02215495	-40.85881419	4471300	6619752	-32.45517355	-
1120717	11206	1445	大宇	紡織纖維	113575	115960	103930	-2.056743705	9.280284807	755794	711129	6.280857622	-
1120717	11206	1446	宏和	紡織纖維	9012	17823	10419	-49.43612187	-13.50417506	72454	67193	7.82968464	-
1120717	11206	1447	力鵬	紡織纖維	3698736	2729847	2998409	35.4924287	23.35662013	16054277	14109774	13.78124837	-
1120717	11206	1449	佳和	紡織纖維	228749	204702	234689	11.7473205	-2.531009123	1237401	1315389	-5.928892518	-
1120717	11206	1451	年興	紡織纖維	560978	686204	785726	-18.24909211	-28.60386445	3254749	4442782	-26.74074488	-
1120717	11206	1452	宏益	紡織纖維	94651	101889	167982	-7.103809047	-43.65408198	539131	1025452	-47.42503793	-
1120717	11206	1453	大將	建材營造	57	57	57	0	0	342	149950	-99.77192397	"本年營收較去年同期大幅減少,係因無出售建案房屋所致."
1120717	11206	1454	台富	紡織纖維	121252	154835	148825	-21.68954048	-18.52712918	759127	951470	-20.21535098	-
1120717	11206	1455	集盛	紡織纖維	530329	610678	896410	-13.15734315	-40.83856717	3538296	5375416	-34.17633166	-
1120717	11206	1456	怡華	建材營造	200069	349469	57301	-42.75057301	249.154465	1048986	347938	201.4864717	本月認列建設收入較去年本月增加所致
1120717	11206	1457	宜進	紡織纖維	228303	245153	353383	-6.87325874	-35.39502466	1454403	2387459	-39.08155072	-
1120717	11206	1459	聯發	紡織纖維	78029	76264	183419	2.314329172	-57.45860571	491230	1196764	-58.95347788	市場需求減少，致營業額下降。
